yorum,urun_adı,puanı
Ürünün  dolgunlaştırıcı özelliği yanında onarıcı bir özelliği de var. Benim saçım ince telli taranması da şekil vermesi de pek kolay değil ama biotin collagen ile harika bir sonuç aldım ve almaya devam ediyorum.,OGX Dolgunlaştırıcı Biotin&Kolejen Şampuanı,5
Bu şampuan gerçekten saçlarımı dolgunlaştırıyor hatta öyle hale geldi ki çok dolgunlaştı ben de kullanmıyorum artık zaten dalgalı bir saçım var kraliçeye dönmek istemedim doğrusu. Çok ince telli ve düz saçların kullanmasını öneririm. Üründe sorun yok benim seçimim yanlış.,OGX Dolgunlaştırıcı Biotin&Kolejen Şampuanı,4
ilk başlarda memnunum sandım ama saçlarımı çok sertleştirdi dolgunlaştırmadı kuruttu memnun kalmadım bırakınca doğru karar verdiğimi anladım,OGX Dolgunlaştırıcı Biotin&Kolejen Şampuanı,1
Şampuan gerçekten güzel saç uzatıcı ve dolgunlaştırıcı etkisi var memnunum tek bir sorun var yeni yıkayıp kuruttugumda bile bi yıkanmamış rahatsızlığı veriyor ve saçımı ertesi gün yine yıkamak zorunda oluyorum yaz için sorun yok ama çabuk yaglandırması kışın sorun olabiliyor,OGX Dolgunlaştırıcı Biotin&Kolejen Şampuanı,3
herkesin saç tipi farklıdır bende güzel etki göstermedi faydasını görmedim saçımı çok sert yaptı saçları aşırı kurutuyor,OGX Dolgunlaştırıcı Biotin&Kolejen Şampuanı,1
saçlarımı daha dolgun gösterdi hafif de dalgalı yapıyor ben beğendim.,OGX Dolgunlaştırıcı Biotin&Kolejen Şampuanı,4
son 3 aydır kullanıyorum ve harıka bır urun sac dokulmesı azaldı ve saclarda parlaklık kattı,OGX Dolgunlaştırıcı Biotin&Kolejen Şampuanı,5
Mutlaka sac kremi ve bakim yagi ile beraber kullanilmali. Hacimsiz saclar icin mukemmel.,OGX Dolgunlaştırıcı Biotin&Kolejen Şampuanı,5
İki senedir değişmez şampuanım. Hepsiburada farkıyla uygun fiyatlı aldım. Tesekkürler. Hacim veriyor dökülme yapmıyor tavsiye ederim,OGX Dolgunlaştırıcı Biotin&Kolejen Şampuanı,5
Kokusu köpürmesi güzel. Saçımı yumuşacık yaptı fakat aynı zamanda her zamankinden daha çok elektriklendi 1 puanı o yüzden kırıyorum. Yağlı saçlara iyi geleceğini düşünüyorum.,OGX Dolgunlaştırıcı Biotin&Kolejen Şampuanı,4
Her sac bir degilsaclarim kuru 1 ay yikamasan yağlanmazfakat bugüne kadar bitlenmedigimin harici hiç kasinmadim sacima cok iyi geldi cidden dolgunlastiriyor ve cok guzell kokuyor ama beni birak kasindirdi. No problemm bayildimm..,OGX Dolgunlaştırıcı Biotin&Kolejen Şampuanı,4
Benim saçlarım kupkurudur ve duştan sonra zor açılır çok fazla dökülür gün içinde de. Bu dertlerim bitti dökülmeler azaldı saçlarım yumuşadı. (Ben zeytinyağı sürüyorum haftada 1 saçlarıma ) onunla beraber yaptım bu şampuanı artık derdim kalmadı ☺️ Gönül rahatlığıyla kullanabilirsiniz,OGX Dolgunlaştırıcı Biotin&Kolejen Şampuanı,5
Benim için doğru bir seçim olmadı. Saçıma çok iyi gelen ama bulunmayan ogx o2'nin yerine aldım. Saçımı çok çabuk ağırlaştırıyor.nerdeyse 1 gunde ağırlaşıyo. 2. Gün yıkamadan durmak imkansız.yıkama sırasında baya saç dökuyor ama yastıkta dökülme yok.yağlı kafalar uzak dursun,OGX Dolgunlaştırıcı Biotin&Kolejen Şampuanı,1
Özenli paketleme hızlı gönderim teşekkürler,OGX Dolgunlaştırıcı Biotin&Kolejen Şampuanı,4
Bunu büyük umutlarla almistim ama saclarimi biraz döküp agirlastirdi.Sac tellerini kalinlastiriyor fakat sac yapisiyor.Hani tel tel hafif bir goruntu ve hacim istiyordum ben neyse saci ince ve dokulenler almasin bence.Kokusu cok guzel orasi ayri.,OGX Dolgunlaştırıcı Biotin&Kolejen Şampuanı,3
Hzılı gönderi için teşekkürler.,OGX Dolgunlaştırıcı Biotin&Kolejen Şampuanı,4
1 yıldır kullanıyorum çok memnunum değişiklik olsun diye revox Biotin Collagen Şampuana gectım fakat aşırı dökülme yaptı.. bu şampuandan 2 kere kullandım anında dökülmeyi kesti. Şampuan dan memnun kalmayanlar her şampuan her saça iyi gelmez bunu sizde biliyorsunuz ben şampuanımı buldum memnunum.,OGX Dolgunlaştırıcı Biotin&Kolejen Şampuanı,5
Kötü yorumlari gördükçe çok şaşırdığım bir şampuan. Yaklaşık 3 senedir kullanıyorum ve bu sampuan sayesinde saçlarımı artik kisa kestirmek zorunda kalmıyorum. Saçlarım ince telli olmasına rağmen yoğun bir hacim veriyor.,OGX Dolgunlaştırıcı Biotin&Kolejen Şampuanı,4
2. Defa kullanıyorum. Çok memnun kaldım. Hatta annem de deneyip memnun kalanlardan. Bitmek üzere yenisini sipariş vereceğim.,OGX Dolgunlaştırıcı Biotin&Kolejen Şampuanı,5
Fiyata göre performası çok kötü. Blendax saç dolgunlaştırıcı kesinlilke bundan daha iyi.Fiyata göre alınmaz para vermeyin bence,OGX Dolgunlaştırıcı Biotin&Kolejen Şampuanı,1
Yorumlara aldanmayın sakın kesinlikle fiyatına değecek bişey değil onlarca organik pahalı şampuanlar kullandım ama bunun kadar fiyatını hiç haketmeyen bir şampuanla karşılaşmadım yani kısacası ne saçı parlatıyor nede saça hacim vs yada saç telinizi kalınlaştırıyor kesinlikle hayal kırıklığı diyebilirim,OGX Dolgunlaştırıcı Biotin&Kolejen Şampuanı,1
Şampuan güzel fakat pek bir hacim ben saçımda faretmedim benim ince telli saçlarım istediğim hacimi almadılar.,OGX Dolgunlaştırıcı Biotin&Kolejen Şampuanı,2
Saçımı daha parlak yaptı. Saçım daha hacimli oldu. Çok memnun kaldım.,OGX Dolgunlaştırıcı Biotin&Kolejen Şampuanı,5
Ürün çok güzel yıllardır kıvırcık saçlarım için doğru Bi şampuan arıyordum çok şey denedim ama bu en iyisi ilk yıkamada kendini belli etti kremi ile beraber kullanıyorum süper...,OGX Dolgunlaştırıcı Biotin&Kolejen Şampuanı,5
Saçlarım çok ince telli ve kabarıyor. yorumlara bakıp aldım ama çok ta aman aman bir etki görmedim. Ayrıca şampuandan sonra saçlarım çok dökülmeye başladı.,OGX Dolgunlaştırıcı Biotin&Kolejen Şampuanı,2
Ürün mükemmelll... Kaşlarıma sürdüm çıkmayan kaşlarım 2 gün sonra fışkırdı desem yeri. Evet ilk yıkamada saçlardan yağ arınmıyor 2 kez beyaz sabunla yıkayın ardından kullandığınız şampuanla yıkayın ve sonuç yağsız ipek gibi saçlar ;),dax supergro saç bakım yağı,5
Yaklaşık 6 ay boyunca haftada 2 kere olmak üzere düzenli biçimde kullandım. Gece saç diplerime sürüp sabah uyanıp yıkıyordum. Saçtan arındırmak için saç ıslanmadan şampuan dökmek gerek ama yine de zor arınıyor ve birkaç defa bolca şampuan istiyor. Üründen aşırı memnun kaldım çünkü saçlarımı aşırı uzattı ama kullanmayı bıraktım çünkü saçımı uzattığı kadar bir o kadar da saçımda dökülmelere sebep oldu. 2 kere kullanmayı bırakıp tekrar başladım bu şekilde döken şeyin Dax olduğunu anladım. Onun kadar uzatan başka bir doğal/hazır ürün görmedim gayet başarılı keşke dökmese de tekrar kullanabilsem diyorum.,dax supergro saç bakım yağı,4
Mükemmel ötesi bir ürün ben sadece saç için değil kaş ve kirpik içinde kullanıyorum etkisini gördüm,dax supergro saç bakım yağı,5
ben de başta çıkaramadım kuru saça şampuan sürdüm olmadı çıkmadı bir türlü başka bi denemem de kuruyken şampuan yerine saç kremi sürdüm hemen çıktı saç kremi saçıma hiç zarar vermedi,dax supergro saç bakım yağı,4
Süpersin super gro! Original hologramlı ürün.,dax supergro saç güçlendirici bakım yağı,5
20 güne yakın ortalama 14 kere kullandım. Gece saat 22:00 yada 23:00 gibi uyguluyorum ve sabah saat 8:00 gibi saçımı yıkıyorum. Şampuanı ilk önce saçıma suyu temas ettirmeden tatbik ettiğim için durulamada sorun yaşamadım.saçım yumuşadı ve güçlendi.işin aslı şu günlerde sıkça duyduğumuz saç çıkartan saç losyonuna ek olarak kullanıyorum. yeni çıkan saçların güçlenmesi ve kök oluşumunu tesis etmesi için faydalı olduğunu düşünüyorum... Ben gayet memnunum...Tavsiye ederim,dax supergro saç güçlendirici bakım yağı,5
Guzel urun,dax supergro saç güçlendirici bakım yağı,4
Yaklaşık 2 aydır kullanıyorum boşuna ün yapmamış ürün gerçekten çok iyi bir ürün çok memnun kaldım dökülme azaldı ve daha hızlı uzamaya başladı yumuşatıyor parlatıyor vs demicem çünkü saçınıza motor yağı dahi sürseniz yine parlatır yine yumuşatır ayrıca üstünde koskoca çok az sürün diye belirtmişler eğer fazla sürerseniz herşeyin fazlası zarar olduğu için bir fayda göremezsiniz ertesi güne saçım ağırlaşmıyor o yorumlara katılmıyorum bir avuç sürülürse anca o zaman ağırlaşır saçınız,dax supergro saç güçlendirici bakım yağı,5
Bu kadar hızlı beklemiyordum hele de indirim döneminde ertesi gün elime geçti kargom paketlenmesi de çok güzeldi teşekkür ederim,dax supergro saç güçlendirici bakım yağı,4
Alırken iki kez düşünün ben yorumlara güvenip aldım 3 kere kullandım ama her kullandığımda saçım daha fazla döküldü onun haricinde iyi bir şampuanınız yoksa duruladığınızda saçı yağlı kalıyoriyi bir yönünü de söyleyeyim oda saça parlaklık veriyor güzel kokuyor ve saçı yumuşaklık veriyor,dax supergro saç güçlendirici bakım yağı,3
bu urunu kullanali cok oldu kullandigim surede sacimi inanilmaz uzatti bunu da en cok boya esnasinda anliyorum dipler cok hizli gelior. Kuaforum bile sen napiorsun sacin cok hizli uzuyor dedi . Faydali bir urun haftada 1 gun kullaniyorum ve 1 saat bekletiyorum .Birde sacimi nemlendirip suruyorum kuru sactan sa nemli saca uygulayin,dax supergro saç güçlendirici bakım yağı,4
işe yarayacak kadar çok kullandım mı bilmiyorum ama 1 aydır kullanıyorum. Bilmiyorum çok memnun kalmadım pek bir etkisini göremedim açıkçası. Ayrıca az az kullanın baya yağlı benden demesi.,dax supergro saç güçlendirici bakım yağı,2 
beğenerek kullanıyorum saçımı güçlendirdi ve bakım yaptı ama dax la birlikte botanica biotin ve keratin maskesi kullanıyorum ikisi mükemmel bir uyum sağladı ve saçlarım hem bakımlı hemde yumuşacık daxla birlikte inanılmaz etki sağladı tavsiye ederim,dax supergro saç güçlendirici bakım yağı,5
Bugün kullanma fırsatı buldum ilk kullanımda etkili bir sonuç alamadim saçlarımda 3 saat kadar beklettim.Işlem görmüş ince telli kuru saçlarım var.Umarim devam eden kullanımlarda saçımi toparlar..,dax supergro saç güçlendirici bakım yağı,2 
güzel,dax supergro saç güçlendirici bakım yağı,4
Yanmış yıpranmış saçlarım uzamıyor saçlarım çok kuru saçlarımı asla uzatamıyorum çok zor tarayabiliyorum diyenlerin kurtarıcısı bir ürün gönül rahatlığıyla alabilirsiniz,dax supergro saç güçlendirici bakım yağı,4
Ürünü PTT kargo getirdi hiç memnun kalmadım 10 günde anca ulaştı elime ürün çok güzel ama kargolama bi işe yaramaz,dax supergro saç güçlendirici bakım yağı,1
Cosmoplex’ten aldım. Paketleme fiyat ve kargo iyiydi.Ürünü gece yatmadan önce uyguladım. Kullanırken cimri davranın. Parmak parmak sürmenin bir anlamı yok. Parmak uçlarımla az az alıp diplerine saçları ayırarak sürdüm. Biraz masaj yaptım. Sonra da uçlarına yine azıcık azıcık alıp tutam tutam sürdüm. Saçı toplayıp yastığa da bir havlu serip yattım. Sabah da ilk olarak ıslatmadan az az şampuan alıp diplerini sonra da uçlarını şampuanladım. Çok az suyla köpürtüp duruladım. İkinci şampuanda tertemiz oldu. Arındıramayanlar sorunu kendinde arasın. Üstelik bebek şampuanı kullanıyorum. İlk deneme için etkisi fena değil. Uzatma iddiasını zamanla göreceğiz. Hızlı uzatırsa tekrar yazarım :)Not: Bonus olarak tırnakları sertleştirip güçlendiriyor bariz şekilde. Gece tırnaklarınıza azıcık sürüp yatın derim ;),dax supergro saç güçlendirici bakım yağı,3
Daha ilk kullanımdan farkı görüyorsunuz harika bir ürün,dax supergro saç güçlendirici bakım yağı,4
Saçınız kıvırcık ve kuru ise hiç düşünmeden alabilirsiniz . Arınma problemi yok. Aynı duş rutinimle yıkanıyorum ve çıkıyorum.bukleler mükemmel belirginleşiyor ve saç nemleniyor. Saç diplerine masaj yapıp yedirin. Çok az da uçları sürün. Harika.,dax supergro saç güçlendirici bakım yağı,5
Saça yapışması ve dökülmesinin sebebi doğru kullanmıyor olmanız. Ürünün üstünde büyük harflerle ÇOK AZ miktarda yazıyor. Ama kalkıpta fazla fazla sürerseniz memnun kalmazsınız. Hesaplamanız gerek şeylerden biride saçınızın kendi yağ miktarıdır. Ürünün vazelin gibi aşırı yağlı bi yapısı var. O yüzden az miktarda saç diplerine masaj yapılarak uygulanırsa daha iyi sonuç alıcağınızdan eminim. Beklettiğiniz zaman zarfında da iyice saç emicektir yağı bu yüzden fazla fazla sürmeye gerek yok. Ben çok memnun kaldım üründen. Ekstra olarak banyodan sonra birde nemlendirici kremle saçımı nemlendiriyorum. Ki benim saçım aşırı işlem görmüş bi saç ve ürünü kullanınca toparlamaya başladı. Bi tavsiye daha eğer gerçekten saçınızın uzamasını istiyorsanız saçınıza bi işlem uygulamayın. Isı boya vs. gibi. Haydi görüşenze :),dax supergro saç güçlendirici bakım yağı,5
İçeriği gayet iyi afro kıvırcık saçlıyım ve nemli bir bölgede oturuyorum supergro saçımı nemlendiriyor ve çabuk uzamasını sağlıyor tavsiye ederim ithal olduğundan fiyatı yüksek en uygun burada buldum teşekkür ederim,dax supergro saç güçlendirici bakım yağı,5
Arkadaş tavsiyesi ile aldım. Arkadaşım ve nette birçok yorum olumlu. 2 defa uyguladım henüz soncunu kendi üzerimden söyleyemiyorum.,dax supergro saç güçlendirici bakım yağı,3
Zaten daha önce bir çok kez kullandığım harika bir ürün. Ne vaad ediyorsa yapıyor. Ayrıca hızlı kargo için teşekkür ederim.,dax supergro saç güçlendirici bakım yağı,5
harika fiyat,john frieda bukle belirginleştirici şampuan,5
kokusu çok güzel:) kıvırcik saçlı olanlar mutlaka denesin,john frieda bukle belirginleştirici şampuan,4
Saçlarım daha elektriksiz ve parlak,john frieda bukle belirginleştirici şampuan,5
urun cok guzel tam istedigim gibi oldu buklelerim,john frieda bukle belirginleştirici şampuan,5
Harika bir ürün,john frieda bukle belirginleştirici şampuan,5
cok begendim,john frieda bukle belirginleştirici şampuan,5
Severek kullandığım şampuanlar baya iyi indirimdeyken yakaladım mutluyum:),john frieda bukle belirginleştirici şampuan,4
Fiyatı piyasanın epey altında  kokusuna aşık oldum . İlk kullanımda bile buklelerim belirginleşti,john frieda bukle belirginleştirici şampuan,4
teşekkürler,john frieda bukle belirginleştirici şampuan,4
yumusak ve parlak yapıyor bukle belirginleştirmesi orta kremiyle birlikte kullanınca işe yarıyor,john frieda bukle belirginleştirici şampuan,4
En sevdiğim şampuanlardan saçlarım dalgalı ve kıvırcığa yakın o yüzden doğal büklelerimi koruyor kokusu harika,john frieda bukle belirginleştirici şampuan,5
saçlarıma hiç iyi gelmedi ve içeriği de iyi değil almayın derim,john frieda bukle belirginleştirici şampuan,2
orijinal mükemmel,john frieda bukle belirginleştirici şampuan,5
Kesinlikle mükemmel,john frieda bukle belirginleştirici şampuan,5
Var olan bukleleri belirgenleştirmede işe yarıyor.,john frieda bukle belirginleştirici şampuan,5
Henüz 1 kez kullandım ama yapısını sevdim farklı bir markanın saç kremiyle kullandıpım halde saçımı sertleştirmedi. Şimdi de saç köpüğünü sipariş verdim :) ama bana minik hediyelerden gelmedi ürünle beraber ona birazcık üzüldüm:)),john frieda bukle belirginleştirici şampuan,4
buklelerimi en güzel yapan şampuan,john frieda bukle belirginleştirici şampuan,4
Yaklaşık 2 senedir kullanıyorum ve vazgeçemiyorum,john frieda bukle belirginleştirici şampuan,4
Kıvırcık saçlılar için ideal bir ürün ogx kullananlara muadil olabilir,john frieda bukle belirginleştirici şampuan,4
permalı yipranmis sac için harika,john frieda bukle belirginleştirici şampuan,5
Harika paketleme hediyeler içinde teşekkür ederimm,john frieda bukle belirginleştirici şampuan,5
Çok başarılı,john frieda bukle belirginleştirici şampuan,5
harika paketlenmiş ve hediyeler içinde ayrıca teşekkür ederim. Her aldığımda küçük birer hediye geliyor. 🦋,john frieda bukle belirginleştirici şampuan,5
Yıllardır kullandığım çok memnun olduğum bir ürün bir günde elime ulaştı,john frieda bukle belirginleştirici şampuan,5
Çok güzel bir ürün şekillendirici kullanmama gerek kalmıyor,john frieda bukle belirginleştirici şampuan,5
güzel ürün,john frieda bukle belirginleştirici şampuan,5
Çok güzel kokuyor ama bukleler için görünür bir etkisi yok.,john frieda bukle belirginleştirici şampuan,3
ayrıca güzel nemlendiriyor,john frieda bukle belirginleştirici şampuan,4
daha önce serinin köpüğünü kullanıp memnun kalmamın üzerine alıp kullanmaya başladığım şampuan.öncelikle saçlarım kıvırcık değil ama geniş bukleli dalgası var. son zamanlarda saçlarımın da uzamasıyla volümünü kaybettiğini ve banyodan sonraki gün buklelerin şeklinde bozulma dağılma olduğunu gözlemliyordum ve bu dağınık görüntü çok hoşuma gitmiyordu. nasıl anlatsam mesela banyodan sonra gördüğüm o güzel bukleyi sonra göremiyordum. sabitleştirici kullanmayı da sevmiyorum. bu şampuanı da bu yüzden aldım.genel olarak beklentimi karşıladı diyebilirim. saçlarımın dalgasını korumasında yardımcı olduğunu ilk yıkamada fark ettim zaten. kokusu da çok hoş ve ben sanırım sert değil de böyle yumuşak kullanması kolay ambalajları daha çok seviyorum. şimdilik iyi anlaşıyoruz. sonrasında farklı bir şey gözlemlersem editleyeceğim.,john frieda ease bukle belirginleştirici şampuan,4
Kuaförümün bu tarz şampuanların içeriğinde biraz jöle olduğu için bukleleri belirginleştirdiğini ama bu yüzden de saç döktüğünü söylemesinden sonra ortaya çıkmasını istediğim buklelerim için kullanamayacağım şampuanlardan birisi.,john frieda ease bukle belirginleştirici şampuan,2
her ne kadar içeriğini beğenmiyor olsam da saçlarımı yumuşacık yapan buklelerini gerçekten belirginleştiren şampuanım. aynı serinin saç kremini de kullanıyorum. bezelye tanesi kadar krem tüm saçıma fazlasıyla yetiyor. ne kadar durulasam da saçımda kalıp gibi kaldığını hissediyorum ama yumuşacık yapmasından elektriklenmeyi önlemesinden vazgeçemiyorum. bittiğinde başka bir ürün alayım diyorum ama elim yine bu seriye gidiyor. sanırım uzun bir süre daha birlikteyiz.,john frieda ease bukle belirginleştirici şampuan,4
Seneler önce blonde serisini kullanıp memnun kalmamıştım. Sonra ne olduysa (merdiven altı üretim miydi) saçlarım elseve şampuanla bozuldu ve dönem dönem süpürge kıvamına gelir oldu.Dalgalı kabarık ve uzun saçlarım var (görenler bayılıyor ama ah bi de bana sorun :( ). Kendileri pek kurudur ve 4 gün yıkamasam bana mısın demez. O kadar şampuan denedikten sonra tekrar bi deneyip bakayım dedim ve bu seriye (kremiyle birlikte) başladım. Baya memnun kaldım. Saçlarım yumuşadı uçlarında kırık dahi yok. Güzel de kokuyor. Çılgın saçlarınız için deneyebilirsiniz.,john frieda ease bukle belirginleştirici şampuan,5
Saçımı açtırmamdan dolayı kupkuru olan saçlarımı badem yağı kankisiyle birlikte nemlendiren yumuşacık yapan tatlı şampuan. Fındık kadar yeterli oluyor saçı hemen köpürtüyor. Hoşlanıyorum kendisinden.,john frieda ease bukle belirginleştirici şampuan,4
bu serinin köpüğünden ve spreyinden çok memnun kalınca paraya kıyıp aldığım ürün. ama beklentilerimi karşılamadı benim. serinin spreyini çok çok seviyorum kesinlikle belirginleştiriyor dalgalarımı (tabi nemli saça uygulayıp kendi haline kurumaya bırakırsanız)ama bu şampuan ile artı bir etki olmadı. güzel nemlendirdiğini hissettim sadece o kadarbiterse yenisini almam sorry john,john frieda ease bukle belirginleştirici şampuan,2
Pırasa gibi diye tabir edilebilecek kadar düz saçlarım var. 7-8 ay önce dalgalı saçlı olma hayaline kendimi kaptırıp bioform yaptırdım. Yaptırdıktan yaklaşık 10 gün sonra da bu şampuanı ve serinin saç köpüğünü alıp kullanmaya başladım.Bioformdan sonra saçlarım çok dökülmeye başlamıştı ama böyle bir işlemden sonra bir yere kadar dökülmeyi normal karşıladığımdan çok da üzerinde durmadım. Bu şampuandan da 2.5 şişe kullandım. Tabi aylar geçti bu sürede ama benim saç dökülmem azalmadı. Önce mevsimsel sonra stresten devam ediyodur diyip geçiştirdim. 2.5 şişenin sonunda aklım başıma geldi de şampuanımı değiştirdim ve elseve kullanmaya başladım. Ve ikinci yıkamadan itibaren saç dökülmem bıçak gibi kesildi. İçeriğinde ne var bilmiyorum ama güzel olmadığı kesin. Yarım kalan şişeyi hiç acımadan çöpe attım. Bir daha asla kullanmam. Gerçi bir daha bioform da yaptırmam sanırım :)),john frieda ease bukle belirginleştirici şampuan,1
ben de bu şampuanı kullanıyorum 5-6 ay oldu. çok da memnundum aslında. buklelerimi çok güzel belirginleştiriyordu.hep düzleştirdiğim saçlarımı bu ürünü köpüğüyle birlikte kullanarak kıvırcık gezmeye başladım hatta.buraya da beğeni yorumu yazayım diye girdim ki saç dökülmesi hakkındaki yorumları gördüm.ve birden kafama dank etti:saçımı döken bu muymuş yaaaa dedim:D vitamin içtim maskeler yaptım saç kremi değiştirdim ama saçım dökülmeye devam etti hiç aklıma şampuan olabileceği gelmemişti.bu aydınlanmayı sağlayan süslülere teşekkür ediyorum.bu şampuanıkullanmayı da hemen bırakıyorum.,john frieda ease bukle belirginleştirici şampuan,3
Diğer john frieda şampuanları gibi saçlarımı avuç avuç döken ama işlevini yerine getirip gerçekten güzel bukleler veren şampuan. Her güzel şeyin bir bedeli var gerçekten hayatta.(ybkz: swh),john frieda ease bukle belirginleştirici şampuan,3
kokusu sebebiyle saçlarımı düzleştireceksem bile kullandığım şampuan. çok bereketli ufacık sıkanız bile tüm saça yetiyor. kremiyle birlikte kullanınca saçı yumuşacık yapıyor. ama gerçekten çok saç döküyor be sözlük :(,john frieda ease bukle belirginleştirici şampuan,3
kesinlikle çok harika,john frieda bukle belirginleştirici bakım maskesi,5
Bu yaşıma kadar bir çok saç maskesi ve bakım kremi kullandım ama bu hepsinden çok bambaşka eğer aklınızda saç maskesi alma fikri varsa hiç düşünmeden tavsiye edebilirim ÇOK MEMNUNUM 🎉🎊,john frieda bukle belirginleştirici bakım maskesi,5
harikaaa bir ürün,john frieda bukle belirginleştirici bakım maskesi,5
Yorumlara bakarak aldım. Gayet memnunum,john frieda bukle belirginleştirici bakım maskesi,4
İlk defa kullanacağım bu ürününü ben şampuanından çok memnun kaldım,john frieda bukle belirginleştirici bakım maskesi
Aynen original gibi,john frieda bukle belirginleştirici bakım maskesi,4
Eskiden turkiyede yoktu surekli yurtdisindan tasiyordum. Gelmesine nasil sevindim anlatamam. Tek kelimeyse muhtesem.,john frieda bukle belirginleştirici bakım maskesi,5
❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,john frieda bukle belirginleştirici bakım maskesi,5
Cok guzel iyi ki almisim satici cok basarili ve hediyeler icin tesekkur ederim,john frieda bukle belirginleştirici bakım maskesi,5
Hızlı kargo sağlam paket orjinal ürün ve hediye göndermişler. İşini düzgün yapan insanların hastasıyız!,john frieda bukle belirginleştirici bakım maskesi,5
Kokusu çok güzel,john frieda bukle belirginleştirici bakım maskesi,4
Gayet güzel 👍,john frieda bukle belirginleştirici bakım maskesi,4
Çok güzelll,john frieda bukle belirginleştirici bakım maskesi,5
boyalı ve röfleli sarı saçlarıma çok iyi gelen maske. tek kötü yanı çabuk bitmesi :( john frieda'nın yıpranmış saçlara yönelik olan (gbkz: john frieda full repair deep conditioner) adlı maskesinden daha başarılı bir maske bence...,john frieda bukle belirginleştirici bakım maskesi,3
kupkuru olan saç uçlarımı bu kadar güzel nemlendiren ağırlaştırmayan başka bir ürün kullanmadım ben. şimdilik çok memnunum.,john frieda bukle belirginleştirici bakım maskesi,5
